BehaviorSpace results (NetLogo 6.3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version-6_1.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment-10-Connection-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/27/2023 16:42:04:708 +0530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,
,4.70877193,4.58245614,4.659649123,4.610526316,4.722807018,4.89122807,4.771929825,4.884210526,4.61754386,4.694736842,4.757894737,4.463157895,4.666666667,4.498245614,4.540350877,4.680701754,4.687719298,4.498245614,4.58245614,4.645614035,4.463157895,4.624561404,4.778947368,4.470175439,4.498245614,4.828070175,4.470175439,4.814035088,4.701754386,4.673684211,4.70877193,4.877192982,4.919298246,4.554385965,4.828070175,4.736842105,4.645614035,4.652631579,4.610526316,4.694736842,4.722807018,4.547368421,4.631578947,4.540350877,4.680701754,4.989473684,4.659649123,4.652631579,4.694736842,4.729824561,4.671298246
,5.186206897,5.075862069,5.131034483,5.048275862,5.2,5.379310345,5.234482759,5.35862069,5.103448276,5.151724138,5.255172414,4.917241379,5.151724138,4.95862069,5.034482759,5.151724138,5.144827586,4.924137931,5.020689655,5.144827586,4.951724138,5.096551724,5.262068966,4.896551724,4.924137931,5.310344828,4.910344828,5.282758621,5.15862069,5.117241379,5.186206897,5.337931034,5.379310345,4.986206897,5.296551724,5.227586207,5.131034483,5.096551724,5.062068966,5.248275862,5.172413793,5.006896552,5.082758621,5.020689655,5.151724138,5.531034483,5.179310345,5.110344828,5.186206897,5.255172414,5.14262069
,5.762711864,5.552542373,5.613559322,5.566101695,5.742372881,5.891525424,5.783050847,5.905084746,5.627118644,5.647457627,5.776271186,5.383050847,5.661016949,5.498305085,5.566101695,5.681355932,5.627118644,5.444067797,5.518644068,5.640677966,5.477966102,5.661016949,5.796610169,5.430508475,5.416949153,5.86440678,5.369491525,5.789830508,5.66779661,5.640677966,5.66779661,5.877966102,5.877966102,5.484745763,5.803389831,5.742372881,5.627118644,5.586440678,5.552542373,5.73559322,5.66779661,5.518644068,5.572881356,5.538983051,5.633898305,6.115254237,5.73559322,5.552542373,5.66779661,5.803389831,5.655322034
,6.326666667,6.08,6.193333333,6.113333333,6.32,6.54,6.333333333,6.48,6.233333333,6.2,6.326666667,5.9,6.186666667,6.1,6.1,6.22,6.206666667,5.953333333,6.033333333,6.22,6,6.226666667,6.393333333,5.966666667,5.966666667,6.446666667,5.913333333,6.353333333,6.233333333,6.22,6.28,6.466666667,6.433333333,6.006666667,6.38,6.32,6.18,6.18,6.1,6.326666667,6.206666667,6.046666667,6.106666667,6.053333333,6.186666667,6.746666667,6.266666667,6.1,6.233333333,6.34,6.214933333
,6.97704918,6.681967213,6.832786885,6.73442623,6.91147541,7.252459016,6.924590164,7.173770492,6.819672131,6.8,6.918032787,6.472131148,6.8,6.675409836,6.68852459,6.806557377,6.773770492,6.57704918,6.629508197,6.845901639,6.583606557,6.826229508,7.02295082,6.518032787,6.544262295,7.062295082,6.504918033,6.97704918,6.845901639,6.832786885,6.852459016,7.055737705,7.02295082,6.616393443,7.009836066,6.898360656,6.773770492,6.793442623,6.675409836,6.963934426,6.845901639,6.649180328,6.740983607,6.636065574,6.780327869,7.390163934,6.852459016,6.68852459,6.845901639,6.990163934,6.821901639
,7.612903226,7.335483871,7.451612903,7.393548387,7.580645161,7.922580645,7.580645161,7.838709677,7.509677419,7.432258065,7.587096774,7.135483871,7.464516129,7.296774194,7.35483871,7.438709677,7.419354839,7.219354839,7.232258065,7.541935484,7.2,7.477419355,7.703225806,7.116129032,7.2,7.729032258,7.141935484,7.664516129,7.509677419,7.509677419,7.477419355,7.735483871,7.716129032,7.251612903,7.677419355,7.567741935,7.406451613,7.425806452,7.341935484,7.612903226,7.483870968,7.258064516,7.367741935,7.258064516,7.425806452,8.129032258,7.490322581,7.309677419,7.470967742,7.638709677,7.472903226
,8.33015873,8.025396825,8.196825397,8.101587302,8.266666667,8.749206349,8.292063492,8.558730159,8.26031746,8.120634921,8.285714286,7.80952381,8.165079365,8,8.050793651,8.152380952,8.146031746,7.885714286,7.93015873,8.266666667,7.923809524,8.184126984,8.425396825,7.777777778,7.911111111,8.450793651,7.873015873,8.412698413,8.228571429,8.26031746,8.152380952,8.463492063,8.412698413,7.936507937,8.380952381,8.279365079,8.101587302,8.114285714,8.088888889,8.33015873,8.171428571,7.974603175,8.076190476,7.987301587,8.13968254,8.926984127,8.184126984,7.987301587,8.158730159,8.342857143,8.185015873
,9.11875,8.8,8.9875,8.8875,9.075,9.54375,9.05,9.3375,9.06875,8.90625,9.04375,8.525,8.96875,8.7625,8.83125,8.95625,8.9625,8.6125,8.65625,9.075,8.6625,8.9625,9.19375,8.51875,8.65,9.25,8.6125,9.19375,8.99375,9.04375,8.925,9.225,9.18125,8.68125,9.13125,9.0625,8.86875,8.925,8.83125,9.2,8.9875,8.73125,8.84375,8.71875,8.8875,9.75,8.9875,8.71875,8.90625,9.1625,8.9595
,10,9.6,9.846153846,9.723076923,9.883076923,10.43692308,9.901538462,10.22153846,9.92,9.827692308,9.876923077,9.329230769,9.84,9.587692308,9.593846154,9.827692308,9.790769231,9.396923077,9.446153846,9.883076923,9.452307692,9.790769231,10.03076923,9.323076923,9.495384615,10.07384615,9.409230769,10.05538462,9.827692308,9.876923077,9.747692308,10.04923077,10.09846154,9.489230769,9.944615385,9.913846154,9.673846154,9.803076923,9.624615385,10.01846154,9.870769231,9.556923077,9.673846154,9.569230769,9.735384615,10.65846154,9.803076923,9.513846154,9.729230769,10.07384615,9.796307692
,10.91515152,10.46666667,10.72121212,10.65454545,10.78787879,11.41818182,10.81212121,11.23636364,10.85454545,10.7030303,10.78181818,10.24242424,10.74545455,10.46666667,10.51515152,10.74545455,10.7030303,10.3030303,10.35757576,10.77575758,10.32121212,10.66060606,10.97575758,10.19393939,10.36969697,10.98181818,10.27878788,10.96363636,10.74545455,10.81212121,10.68484848,10.95757576,11.02424242,10.37575758,10.97575758,10.82424242,10.55151515,10.69090909,10.53333333,10.92121212,10.77575758,10.46060606,10.6,10.42424242,10.64242424,11.6,10.74545455,10.43030303,10.61212121,10.99393939,10.70666667
