"BehaviorSpace results (NetLogo 6.3.0)"
"Version-1.nlogo"
"experiment-2"
"03/27/2023 18:16:42:613 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-13","13","-13","13"
"[run number]","1","2","3","4","5","6","7","8","9","10","11"
"Rate-of-connection","0","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9","1"
"add-people","2","2","2","2","2","2","2","2","2","2","2"
"num-teams","5","5","5","5","5","5","5","5","5","5","5"
"num-people","10","10","10","10","10","10","10","10","10","10","10"
"[reporter]","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)"
"[final]","0.044444444444444446","5.315555555555555","11.026666666666667","14.337777777777777","20.915555555555557","26.27111111111111","26.115555555555556","30.622222222222224","36.41777777777778","30.54222222222222","31.102222222222224"
"[min]","0.044444444444444446","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"[max]","0.4","5.315555555555555","11.026666666666667","14.337777777777777","20.915555555555557","26.27111111111111","26.115555555555556","30.622222222222224","36.433035714285715","30.5625","31.102222222222224"
"[mean]","0.11042678932773069","2.9812100984643286","6.099969979322855","7.64465229124735","10.589772443193532","13.504356548681177","13.912918429142815","15.99998100683817","19.23954973544769","16.60804607018313","16.890774287972416"
"[steps]","200","200","200","200","200","200","200","200","200","200","200"

"[all run data]","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)"
,"0.13157894736842105","1.9078947368421053","3.710526315789474","4.447368421052632","5.828947368421052","6.855263157894737","8.578947368421053","8.723684210526315","9.763157894736842","10.105263157894736","9.907894736842104"
,"0.12987012987012986","1.9350649350649352","3.74025974025974","4.532467532467533","6","6.9480519480519485","8.61038961038961","8.792207792207792","9.766233766233766","10.220779220779221","10.077922077922079"
,"0.1282051282051282","1.9615384615384615","3.7435897435897436","4.576923076923077","6.17948717948718","7.153846153846154","8.705128205128204","8.846153846153847","10.179487179487179","10.423076923076923","9.948717948717949"
,"0.12658227848101267","1.9873417721518987","3.8354430379746836","4.632911392405063","6.215189873417722","7.3544303797468356","8.759493670886076","8.835443037974683","10.405063291139241","10.518987341772151","10.113924050632912"
,"0.125","2.0125","3.925","4.7","6.3875","7.4","8.9375","8.8625","10.6625","10.3875","10.4125"
,"0.12345679012345678","2.037037037037037","3.950617283950617","4.790123456790123","6.45679012345679","7.567901234567901","9.123456790123457","8.901234567901234","10.765432098765432","10.407407407407407","10.419753086419753"
,"0.12195121951219512","2.0365853658536586","3.975609756097561","4.817073170731708","6.463414634146342","7.7439024390243905","9.25609756097561","8.963414634146341","11.170731707317072","10.609756097560975","10.365853658536585"
,"0.12048192771084337","2.072289156626506","4.048192771084337","4.903614457831325","6.63855421686747","7.9156626506024095","9.433734939759036","9.337349397590362","11.27710843373494","10.927710843373495","10.566265060240964"
,"0.11904761904761904","2.0714285714285716","4.0476190476190474","4.988095238095238","6.690476190476191","7.9523809523809526","9.630952380952381","9.5","11.226190476190476","10.988095238095237","10.464285714285714"
,"0.11764705882352941","2.070588235294118","4.117647058823529","5.035294117647059","6.858823529411764","8.141176470588235","9.658823529411764","9.870588235294118","11.458823529411765","11.08235294117647","10.588235294117647"
,"0.11627906976744186","2.104651162790698","4.1976744186046515","5.104651162790698","6.9186046511627906","8.209302325581396","9.848837209302326","9.755813953488373","11.651162790697674","11.116279069767442","10.546511627906977"
,"0.11494252873563218","2.1264367816091956","4.183908045977011","5.172413793103448","6.977011494252873","8.241379310344827","9.931034482758621","9.96551724137931","12.068965517241379","11.379310344827585","10.505747126436782"
,"0.11363636363636363","2.1704545454545454","4.261363636363637","5.238636363636363","7.0227272727272725","8.420454545454545","10.022727272727273","9.852272727272727","12.215909090909092","11.568181818181818","10.795454545454545"
,"0.11235955056179775","2.191011235955056","4.348314606741573","5.303370786516854","7.112359550561798","8.426966292134832","10.179775280898877","10.0561797752809","12.134831460674157","11.741573033707866","11.02247191011236"
