who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,team-number,manager?,visited?
309,117,290,5.010307379,8.842020143,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",9,0,TRUE
310,18,356,4.960487053,3.695128101,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
311,18,356,4.960487053,3.695128101,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
312,18,356,4.960487053,3.695128101,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
313,18,356,4.960487053,3.695128101,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
314,18,356,4.960487053,3.695128101,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",0,0,TRUE
315,26,129,1.627145961,0.220679609,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,1,TRUE
316,26,129,1.627145961,0.220679609,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,1,TRUE
317,26,129,1.627145961,0.220679609,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,1,TRUE
318,26,129,1.627145961,0.220679609,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,1,TRUE
319,26,129,1.627145961,0.220679609,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,1,TRUE
320,19,174,-2.55,7.65,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,1,TRUE
321,19,174,-2.55,7.65,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,1,TRUE
322,19,174,-2.55,7.65,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,1,TRUE
323,19,174,-2.55,7.65,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,1,TRUE
324,19,174,-2.55,7.65,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,1,TRUE
325,54,291,-2.633580426,7.15836795,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
326,54,291,-2.633580426,7.15836795,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
327,54,291,-2.633580426,7.15836795,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
328,54,291,-2.633580426,7.15836795,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
329,54,291,-2.633580426,7.15836795,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
330,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
331,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
332,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
333,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
334,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
335,19,188,-2.828346202,5.669463863,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
